Account ID,Campaign ID,Campaign Name,Campaign Type,Campaign Status,Budget,Bid Strategy Type,Ad Group ID,Ad Group Name,Ad Group Status,Keyword,Keyword Status,Keyword Match Type,Ad ID,Ad Type,Ad Status,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description Line 1,Description Line 2,Description Line 3,Description Line 4,Final URL,Final URL - Mobile,Path 1,Path 2
,,[Vijvercentrum] 01 - A2KOI Migratie,Search,Enabled,18,Maximize Clicks,,A2KOI - Exact,Enabled,[a2koi],Enabled,Exact,,,,,,,,,,,,,,,,,,,,,,,https://vijvercentrum.nl,,,
,,[Vijvercentrum] 01 - A2KOI Migratie,Search,Enabled,18,Maximize Clicks,,A2KOI - Exact,Enabled,[a2 koi],Enabled,Exact,,,,,,,,,,,,,,,,,,,,,,,https://vijvercentrum.nl,,,
,,[Vijvercentrum] 01 - A2KOI Migratie,Search,Enabled,18,Maximize Clicks,,A2KOI - Exact,Enabled,[a2koi.nl],Enabled,Exact,,,,,,,,,,,,,,,,,,,,,,,https://vijvercentrum.nl,,,
,,[Vijvercentrum] 01 - A2KOI Migratie,Search,Enabled,18,Maximize Clicks,,A2KOI - Exact,Enabled,[a2koi webshop],Enabled,Exact,,,,,,,,,,,,,,,,,,,,,,,https://vijvercentrum.nl,,,
,,[Vijvercentrum] 01 - A2KOI Migratie,Search,Enabled,18,Maximize Clicks,,A2KOI - Exact,Enabled,[a2koi kerkdriel],Enabled,Exact,,,,,,,,,,,,,,,,,,,,,,,https://vijvercentrum.nl,,,
,,[Vijvercentrum] 01 - A2KOI Migratie,Search,Enabled,18,Maximize Clicks,,A2KOI - Exact,Enabled,[a 2 koi],Enabled,Exact,,,,,,,,,,,,,,,,,,,,,,,https://vijvercentrum.nl,,,
,,[Vijvercentrum] 01 - A2KOI Migratie,Search,Enabled,18,Maximize Clicks,,A2KOI - Exact,Enabled,[koi a2],Enabled,Exact,,,,,,,,,,,,,,,,,,,,,,,https://vijvercentrum.nl,,,
,,[Vijvercentrum] 01 - A2KOI Migratie,Search,Enabled,18,Maximize Clicks,,A2KOI - Exact,Enabled,[a2koi vijvercentrum],Enabled,Exact,,,,,,,,,,,,,,,,,,,,,,,https://vijvercentrum.nl,,,
,,[Vijvercentrum] 01 - A2KOI Migratie,Search,Enabled,18,Maximize Clicks,,A2KOI - Exact,Enabled,[a1 koi],Enabled,Exact,,,,,,,,,,,,,,,,,,,,,,,https://vijvercentrum.nl,,,
,,[Vijvercentrum] 01 - A2KOI Migratie,Search,Enabled,18,Maximize Clicks,,A2KOI - Exact,Enabled,[nikoi],Enabled,Exact,,,,,,,,,,,,,,,,,,,,,,,https://vijvercentrum.nl,,,
,,[Vijvercentrum] 01 - A2KOI Migratie,Search,Enabled,18,Maximize Clicks,,A2KOI - Exact,Enabled,[nikoi online vijvercentrum],Enabled,Exact,,,,,,,,,,,,,,,,,,,,,,,https://vijvercentrum.nl,,,
,,[Vijvercentrum] 01 - A2KOI Migratie,Search,Enabled,18,Maximize Clicks,,A2KOI - Phrase,Enabled,"""a2koi""",Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,https://vijvercentrum.nl,,,
,,[Vijvercentrum] 01 - A2KOI Migratie,Search,Enabled,18,Maximize Clicks,,A2KOI - Phrase,Enabled,"""a2 koi""",Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,https://vijvercentrum.nl,,,
,,[Vijvercentrum] 01 - A2KOI Migratie,Search,Enabled,18,Maximize Clicks,,A2KOI - Phrase,Enabled,"""a2koi kerkdriel""",Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,https://vijvercentrum.nl,,,
,,[Vijvercentrum] 01 - A2KOI Migratie,Search,Enabled,18,Maximize Clicks,,A2KOI - Phrase,Enabled,"""a2koi online""",Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,https://vijvercentrum.nl,,,
,,[Vijvercentrum] 01 - A2KOI Migratie,Search,Enabled,18,Maximize Clicks,,A2KOI - Phrase,Enabled,"""a2koi openingstijden""",Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,https://vijvercentrum.nl,,,
,,[Vijvercentrum] 01 - A2KOI Migratie,Search,Enabled,18,Maximize Clicks,,A2KOI - Phrase,Enabled,"""a2koi aanbod""",Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,https://vijvercentrum.nl,,,
,,[Vijvercentrum] 01 - A2KOI Migratie,Search,Enabled,18,Maximize Clicks,,A2KOI - Phrase,Enabled,"""a2koi vijver""",Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,https://vijvercentrum.nl,,,
,,[Vijvercentrum] 01 - A2KOI Migratie,Search,Enabled,18,Maximize Clicks,,A2KOI - Gesloten/Failliet,Enabled,[a2koi gesloten],Enabled,Exact,,,,,,,,,,,,,,,,,,,,,,,https://vijvercentrum.nl,,,
,,[Vijvercentrum] 01 - A2KOI Migratie,Search,Enabled,18,Maximize Clicks,,A2KOI - Gesloten/Failliet,Enabled,[a2 koi gesloten],Enabled,Exact,,,,,,,,,,,,,,,,,,,,,,,https://vijvercentrum.nl,,,
,,[Vijvercentrum] 01 - A2KOI Migratie,Search,Enabled,18,Maximize Clicks,,A2KOI - Gesloten/Failliet,Enabled,[a2koi failliet],Enabled,Exact,,,,,,,,,,,,,,,,,,,,,,,https://vijvercentrum.nl,,,
,,[Vijvercentrum] 01 - A2KOI Migratie,Search,Enabled,18,Maximize Clicks,,A2KOI - Gesloten/Failliet,Enabled,[a2 koi failliet],Enabled,Exact,,,,,,,,,,,,,,,,,,,,,,,https://vijvercentrum.nl,,,
,,[Vijvercentrum] 01 - A2KOI Migratie,Search,Enabled,18,Maximize Clicks,,A2KOI - Gesloten/Failliet,Enabled,[a2koi faillissement],Enabled,Exact,,,,,,,,,,,,,,,,,,,,,,,https://vijvercentrum.nl,,,
,,[Vijvercentrum] 01 - A2KOI Migratie,Search,Enabled,18,Maximize Clicks,,A2KOI - Gesloten/Failliet,Enabled,[a2 koi faillissement],Enabled,Exact,,,,,,,,,,,,,,,,,,,,,,,https://vijvercentrum.nl,,,
,,[Vijvercentrum] 01 - A2KOI Migratie,Search,Enabled,18,Maximize Clicks,,A2KOI - Gesloten/Failliet,Enabled,"""a2koi gesloten""",Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,https://vijvercentrum.nl,,,
