Account ID,Campaign ID,Campaign Name,Campaign Type,Campaign Status,Budget,Bid Strategy Type,Ad Group ID,Ad Group Name,Ad Group Status,Keyword,Keyword Status,Keyword Match Type,Ad ID,Ad Type,Ad Status,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description Line 1,Description Line 2,Description Line 3,Description Line 4,Final URL,Final URL - Mobile
,,[Vijvercentrum] 03 - Non-Brand Producten,Search,Enabled,25,Maximize Conversions,,Koi Voer,Enabled,koi voer,Enabled,Exact,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 03 - Non-Brand Producten,Search,Enabled,25,Maximize Conversions,,Koi Voer,Enabled,koivoer kopen,Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 03 - Non-Brand Producten,Search,Enabled,25,Maximize Conversions,,Koi Voer,Enabled,koi pellets,Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 03 - Non-Brand Producten,Search,Enabled,25,Maximize Conversions,,Koi Voer,Enabled,premium koi voeding,Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 03 - Non-Brand Producten,Search,Enabled,25,Maximize Conversions,,Koi Voer,Enabled,voeding koi vissen,Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 03 - Non-Brand Producten,Search,Enabled,25,Maximize Conversions,,Koi Voer,Enabled,koi eten,Enabled,Exact,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 03 - Non-Brand Producten,Search,Enabled,25,Maximize Conversions,,Koi Voer,Enabled,,Enabled,,1,Responsive Search Ad,Enabled,Premium Koi Voer Online,Beste Kwaliteit Koi Pellets,Voor Gezonde Koi Vissen,Snelle Verzending Drunen,Koi Voeding Vanaf €25,Topmerken & Lage Prijzen,Expert Advies Beschikbaar,"Gezonde Vissen, Sterk Voer",Bestel Nu & Snel Thuis,Drunen Vijverexpert,24/7 WhatsApp Support,Colombo Velda NT Labs,,,,Bestel het juiste voer voor jouw koi. Grote selectie aan premium koi voeding.,Snelle verzending uit ons magazijn in Drunen.,Advies nodig? Stuur een WhatsApp naar +31 85 773 2409.,Gratis verzending al vanaf €50 bestellingwaarde!,https://vijvercentrum.nl/collections/koi-voer,https://vijvercentrum.nl/collections/koi-voer
,,[Vijvercentrum] 03 - Non-Brand Producten,Search,Enabled,25,Maximize Conversions,,Vijverfilters,Enabled,vijverfilter,Enabled,Exact,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 03 - Non-Brand Producten,Search,Enabled,25,Maximize Conversions,,Vijverfilters,Enabled,vijverfilter kopen,Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 03 - Non-Brand Producten,Search,Enabled,25,Maximize Conversions,,Vijverfilters,Enabled,drumfilter vijver,Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
