Account ID,Campaign ID,Campaign Name,Campaign Type,Campaign Status,Budget,Bid Strategy Type,Ad Group ID,Ad Group Name,Ad Group Status,Keyword,Keyword Status,Keyword Match Type,Ad ID,Ad Type,Ad Status,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description Line 1,Description Line 2,Description Line 3,Description Line 4,Final URL,Final URL - Mobile
,,[Vijvercentrum] 04 - Seizoen Marieke,Search,Enabled,16,Maximize Conversions,,Voorjaar Vijver,Enabled,vijver voorjaar,Enabled,Exact,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 04 - Seizoen Marieke,Search,Enabled,16,Maximize Conversions,,Voorjaar Vijver,Enabled,vijver opstarten voorjaar,Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 04 - Seizoen Marieke,Search,Enabled,16,Maximize Conversions,,Voorjaar Vijver,Enabled,vijver lente klaar maken,Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 04 - Seizoen Marieke,Search,Enabled,16,Maximize Conversions,,Voorjaar Vijver,Enabled,voorjaar voorbereiding vijver,Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 04 - Seizoen Marieke,Search,Enabled,16,Maximize Conversions,,Voorjaar Vijver,Enabled,,Enabled,,1,Responsive Search Ad,Enabled,Maak Uw Vijver Voorjaarsklaar,Lente Voorbereiding Startkits,Koi Klaar voor Seizoen,Voorjaar Vijver Checklist,Opstarten Warme Maanden,Snelle Verzending Drunen,Alles voor Lente Voorbereiding,Deskundig Seizoens Advies,6000+ Lente Producten,Expert Voorbereiding Gids,iDEAL Klarna Creditcard,Gratis Verzend €50+,,,,Bereid uw vijver voor op het warme seizoen. Alles wat u nodig heeft.,Deskundig advies voor seizoensvoorbereiding.,"Filter reiniging, voeding, waterbehandeling en meer.",WhatsApp tips: +31 85 773 2409 voor uw vijver.,https://vijvercentrum.nl/,https://vijvercentrum.nl/
,,[Vijvercentrum] 04 - Seizoen Marieke,Search,Enabled,16,Maximize Conversions,,Vijver Onderhoud,Enabled,vijver onderhoud,Enabled,Exact,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 04 - Seizoen Marieke,Search,Enabled,16,Maximize Conversions,,Vijver Onderhoud,Enabled,vijver schoonmaken,Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 04 - Seizoen Marieke,Search,Enabled,16,Maximize Conversions,,Vijver Onderhoud,Enabled,vijveronderhoud tips,Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 04 - Seizoen Marieke,Search,Enabled,16,Maximize Conversions,,Vijver Onderhoud,Enabled,vijver instandhouding,Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 04 - Seizoen Marieke,Search,Enabled,16,Maximize Conversions,,Vijver Onderhoud,Enabled,,Enabled,,2,Responsive Search Ad,Enabled,Vijver Onderhoud Made Easy,Professionele Schoonmaak,Gezonde Waterkwaliteit,Wekelijkse Onderhoudstips,Kristalhelder Water Garant,Snelle Bezorging Drunen,Alle Schoonmaakproducten,Vijver Expert Advies,Eenvoudig Onderhoudssysteem,Makkelijk Gezonde Vijver,Klarna iDEAL Creditcard,Gratis Porto v.a. €50,,,,Alle onderhoudsmiddelen en adviezen op één plek.,Tips van onze vijverexperts.,"Filtersponzen, watertest-kits, nutrienten en meer.",Stuur WhatsApp naar +31 85 773 2409 voor advies.,https://vijvercentrum.nl/,https://vijvercentrum.nl/
,,[Vijvercentrum] 04 - Seizoen Marieke,Search,Enabled,16,Maximize Conversions,,Vijver Adviseur,Enabled,vijver advies,Enabled,Exact,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 04 - Seizoen Marieke,Search,Enabled,16,Maximize Conversions,,Vijver Adviseur,Enabled,vijveradviseur,Enabled,Exact,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 04 - Seizoen Marieke,Search,Enabled,16,Maximize Conversions,,Vijver Adviseur,Enabled,vijverplan,Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
,,[Vijvercentrum] 04 - Seizoen Marieke,Search,Enabled,16,Maximize Conversions,,Vijver Adviseur,Enabled,mijn vijver advies,Enabled,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
